none	''
calcio	[[File:Football_pictogram.svg|link=https://it.wikipedia.org/wiki/Utente:Mikima/Top25/File:Football_pictogram.svg|senza_cornice|80x80px]]
nuoto	[[File:Open_water_swimming_pictogram.svg|link=https://it.wikipedia.org/wiki/File:Open_water_swimming_pictogram.svg|senza_cornice|80x80px]]
tennis	[[File:Tennis_pictogram.svg|link=https://it.wikipedia.org/wiki/File:Tennis_pictogram.svg|senza_cornice|80x80px]]
volley	[[File:Volleyball (indoor) pictogram.svg|senza_cornice|80x80px]]
basket	[[File:Basketball pictogram.svg|senza_cornice|80x80px]]
tv	[[File:Crystal128-tv.svg|link=https://it.wikipedia.org/wiki/File:Crystal128-tv.svg|senza_cornice|80x80px]]
cinema	[[File:Film_Reel.svg|link=https://it.wikipedia.org/wiki/File:Film_Reel.svg|senza_cornice|80x80px]]
news	[[File:Crystal_Clear_app_kontact.png|link=https://it.wikipedia.org/wiki/Utente:Mikima/Top25/File:Crystal_Clear_app_kontact.png|senza_cornice|80x80px]]
web	[[File:Crystal_Clear_app_browser.png|link=https://it.wikipedia.org/wiki/File:Crystal_Clear_app_browser.png|senza_cornice|80x80px]]
festa	[[File:Quick_restart.png|link=https://it.wikipedia.org/wiki/File:Quick_restart.png|senza_cornice|80x80px]]
